Window,Asset,Cost Regime,Avg Test Sharpe,Avg Cumulative Return
2020-2024,BTC,no_cost,0.050133061049950724,0.1947855554989254
2020-2024,BTC,with_cost,0.016077182379627995,-0.28122156269163245
2020-2024,ETH,no_cost,0.02800641176829571,0.21957413575081808
2020-2024,ETH,with_cost,-0.0013508206446193544,-0.219843142027576
2020-2024,SOL,no_cost,0.05839243255313149,0.44944951954985896
2020-2024,SOL,with_cost,0.03742088096625115,-0.06730404614883845
2020-2024,XRP,no_cost,0.01867213236069192,0.07625596017522324
2020-2024,XRP,with_cost,0.003074730835239407,-0.24926048257250133
2021-2025,BTC,no_cost,0.04279869009454274,0.22797325680321096
2021-2025,BTC,with_cost,0.0006576972571438433,-0.3086176815680288
2021-2025,ETH,no_cost,0.003138192016899932,0.04395416154271544
2021-2025,ETH,with_cost,-0.022110104555429458,-0.3321050389649648
2021-2025,SOL,no_cost,0.023644952916422848,0.2454098086506059
2021-2025,SOL,with_cost,0.003733239172986591,-0.2292258109872018
2021-2025,XRP,no_cost,0.028058966939748235,-0.06994848166395766
2021-2025,XRP,with_cost,0.014070189161159655,-0.37533766518780814
