feat_a,feat_b,corr
taker_buy_base_share,order_flow_imbalance,1.0000000000000016
taker_buy_quote_share,order_flow_imbalance,0.9999940034079268
taker_buy_base_share,taker_buy_quote_share,0.9999940034079263
ret_1h_close,body_pct,0.9997478900784618
ret_1h_close,log_ret_1h_close,0.9996137150505903
log_ret_1h_close,body_pct,0.9993477448220733
ret_3h,log_ret_3h,0.9991211147553318
vol_z_24,quote_vol_z_24,0.9985660998444612
ret_6h,log_ret_6h,0.998406584463949
vol_ratio_24,quote_vol_ratio_24,0.9980049628794863
ret_12h,log_ret_12h,0.99761369179673
ret_24h,log_ret_24h,0.9961800777098566
ema_cross_12_24,macd_line_pct,0.9945398706842309
ret_48h,log_ret_48h,0.9932487882400418
ret_72h,log_ret_72h,0.9913151216068327
close_to_sma_72,close_to_ema_72,0.982641420513075
close_to_sma_24,close_to_ema_24,0.9822477778535951
close_to_sma_48,close_to_ema_48,0.9819566525015798
close_to_sma_12,close_to_ema_12,0.9816241380645829
sma_cross_12_48,macd_signal_pct,0.9804022661822565
close_to_ema_48,close_to_ema_72,0.9795468425234499
bar_up,bar_down,-0.9795412523645752
close_to_sma_6,close_to_ema_6,0.9791355204756508
close_to_sma_72,close_to_ema_48,0.9664068533161901
close_to_sma_48,ema_cross_12_24,0.9608798249136294
macd_line_pct,macd_signal_pct,0.956615752932337
close_to_sma_48,close_to_sma_72,0.951468718406411
close_to_sma_48,macd_line_pct,0.9499761832401502
close_to_sma_48,close_to_ema_72,0.947435252142832
vol_72h,downside_vol_72h,0.9444818606598195
close_to_ema_6,close_to_ema_12,0.9428025355285048
close_to_ema_12,close_to_ema_24,0.9427050134930995
close_to_ema_24,close_to_ema_48,0.9422259249126582
ema_cross_12_24,macd_signal_pct,0.9396588864023944
close_to_ema_48,ema_cross_12_24,0.9381114903162645
log_ret_48h,close_to_sma_72,0.9371481248278243
log_quote_volume,log_trades,0.9366490070980021
vol_z_24,trades_z_24,0.9355141448600237
quote_vol_z_24,trades_z_24,0.9353873077893717
ret_48h,close_to_sma_72,0.9353707174464303
sma_cross_12_48,macd_line_pct,0.930955897170403
log_ret_3h,close_to_sma_6,0.9302741825647239
close_to_sma_12,close_to_ema_6,0.9302326132719706
close_to_ema_48,macd_line_pct,0.9300071667116283
ret_3h,close_to_sma_6,0.9294691740229433
close_to_sma_24,close_to_ema_12,0.9283655834324863
sma_cross_12_48,ema_cross_12_24,0.9278915060333107
close_to_sma_48,close_to_ema_24,0.9235311375938704
log_ret_24h,ema_cross_12_24,0.9233595616619319
close_to_sma_72,ema_cross_12_24,0.9229914487591084
vol_24h,atr_14_pct,0.9214646383783112
close_to_sma_72,macd_line_pct,0.9212320996672542
log_ret_6h,close_to_sma_12,0.920961285110508
ret_6h,close_to_sma_12,0.9205115067637771
log_ret_12h,close_to_sma_24,0.920125919948603
log_ret_24h,close_to_sma_48,0.9187963477548867
ret_12h,close_to_sma_24,0.9184176990916642
ret_24h,close_to_sma_48,0.9165773076164268
close_to_ema_72,ema_cross_12_24,0.9164343544977513
ret_24h,ema_cross_12_24,0.9159185539744642
close_to_ema_72,macd_line_pct,0.9137815209236964
log_ret_24h,macd_line_pct,0.912441551429521
sma_cross_6_24,ema_cross_12_24,0.9090913930424138
vol_24h,downside_vol_24h,0.9024948459689875
close_to_sma_72,macd_signal_pct,0.9001497779365936
